Strategy,Gross PnL,Total PnL,Commission,Turnover,Mean Daily PnL,Daily PnL Std,Annualised Sharpe,Score,Maximum Drawdown,Profitable Day Fraction
20-day losers-long winners-short top/bottom 20%,64209.01999999998,60275.40129399998,3933.618706,39336187.06,120.7923873627254,1111.5268802851117,1.7182628456883222,90.23081569034196,-15224.906497,0.5390781563126252
Expanding Sharpe leader,56419.499999999956,52286.528749999954,4132.9712500000005,41329712.5,104.78262274549088,1107.9507718026864,1.495336054249019,72.40263075117892,-15224.906497,0.5370741482965932
5-day losers-long winners-short top/bottom 20%,35581.89999999998,28347.90595399998,7233.994046,72339940.46000001,56.80943076953904,1075.2793369111132,0.8353512786986894,23.349048324724315,-17113.081713000007,0.503006012024048
Max short all assets,58743.27999999996,58239.98757359999,503.2924264,5432729.68,116.71340195110218,5874.997285124174,0.31411093973332965,10.481448214497739,-124952.88204279997,0.49899799599198397
ALGO short-and-hold,10103.279999999999,10100.990983999996,2.2890159999999997,114450.8,20.2424669018036,906.2485629589065,0.35317187517114973,2.2448495347208404,-19324.370948400003,0.5070140280561122
Previous-day reversal,8520.11999999997,2030.9241791999611,6489.1958208,74848880.36,4.069988335070063,760.3315302632425,0.08463698187474841,0.028947666297646363,-16905.184096600024,0.49298597194388777
No position,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-day top-2 score ensemble,-300.5099999999984,-6021.494819399995,5720.984819400001,61480981.129999995,-12.067123886573137,2505.1839781925055,-0.07616126524273613,-12.067123886573137,-53815.77368480005,0.45691382765531063
Expanding score leader above 0,-5006.519999999939,-9570.424653599934,4563.9046536000005,47595452.92,-19.179207722645156,2639.9485873974413,-0.11486962361801262,-19.179207722645156,-65573.32450619998,0.5070140280561122
ALGO long-and-hold,-10103.279999999999,-10105.569015999994,2.2890159999999997,114450.8,-20.251641314629246,906.2614318945054,-0.3533269245339013,-20.251641314629246,-26473.6223084,0.48697394789579157
1-day winners-long losers-short top/bottom 20%,2607.7199999999702,-12938.221061000033,15545.941061000001,155459410.61,-25.928298719438942,1059.771143623974,-0.38684049995112235,-25.928298719438942,-24128.692253000027,0.49498997995991983
Previous-day momentum,-8520.11999999997,-15009.315820799971,6489.1958208,74848880.36,-30.078789220040022,760.2488021267075,-0.6255681227603775,-30.078789220040022,-28547.19839099999,0.4849699398797595
1-day losers-long winners-short top/bottom 20%,-2607.7199999999702,-18153.661060999966,15545.941061000001,155459410.61,-36.38008228657308,1060.1712685674781,-0.5425723413791753,-36.38008228657308,-30769.90332500007,0.4849699398797595
Softmax expanding-score ensemble,-19613.41999999997,-24227.04349859996,4613.6234986,48308345.29,-48.55118937595182,2467.58231035225,-0.3110987238278992,-48.55118937595182,-68691.98423919997,0.49498997995991983
Expanding lowest-volatility leader,-23037.14000000001,-29292.018364400014,6254.8783644000005,71864121.02000001,-58.70143960801606,760.8337500601377,-1.219913358716539,-58.70143960801606,-39321.34661560003,0.44889779559118237
Positive-score ensemble,-26716.560000000027,-30218.630369200022,3502.0703692000006,38004424.620000005,-60.558377493386814,1365.2078012127238,-0.7013672354980237,-60.558377493386814,-46982.67669680002,0.43887775551102204
Expanding top-2 score ensemble,-32376.089999999982,-37325.37301099998,4949.283011,51472701.95,-74.80034671543082,2149.7573206383013,-0.5501538781150035,-74.80034671543082,-57596.70401219994,0.46693386773547096
50-day rolling score leader above 0,-32837.19999999995,-39523.29152079995,6686.091520800001,73291356.28,-79.2049930276552,4486.2012873240365,-0.279153970122624,-79.2049930276552,-88736.51637399993,0.44288577154308617
5-day winners-long losers-short top/bottom 20%,-35581.89999999998,-42815.89404599998,7233.994046,72339940.46000001,-85.80339488176348,1075.4819178322969,-1.2614538389827046,-85.80339488176348,-56340.708973999994,0.4789579158316633
Softmax 50-day score ensemble,-48672.04999999993,-55133.588606599966,6461.5386066,71082807.92999999,-110.48815352024042,4422.196916085689,-0.39504597626509264,-110.48815352024042,-104520.63820739993,0.45490981963927857
Max long all assets,-58743.27999999996,-59246.57242639997,503.2924264,5432729.68,-118.7306060649298,5875.329227236519,-0.31952179070821046,-118.7306060649298,-176896.1760014,0.501002004008016
Expanding mean-PnL leader,-61755.53,-65257.63043299999,3502.1004329999996,37743516.97,-130.77681449498996,4512.493048669519,-0.45823073241899454,-130.77681449498996,-97167.5720738,0.46893787575150303
20-day winners-long losers-short top/bottom 20%,-64209.01999999998,-68142.63870599997,3933.618706,39336187.06,-136.55839420040073,1111.6919792069832,-1.9422446476426003,-136.55839420040073,-69927.55897900001,0.4188376753507014
