,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,0.0064574563095484054,0.0027468937129130015,0.003250803419164436,0.002159685127884136,0.003617959858046563,0.008842435899000033,0.0048739918290429,0.003544174149054044,0.004439743234640477,0.003641039817793402,0.003209801430620567,0.007335199959227411,0.006236782818721098,0.002810039030016958,0.01059483235142936,0.00867051995082069,0.0030291230605927304,0.0035246764047454264,0.0031074514101217024,0.006080466148008695,0.0031207091511270303,0.003210527136711331,0.0009339037033445537,0.013473574480047098,0.00641866710937258,0.005139777482926763,0.002940584723727928,0.0019085595799789978,0.00046513728176181366,0.01180055717458961,0.00406280656931296,0.0021299480587898267,0.00497093719122398,0.005175911929398178,0.0052208294524666065,0.004718222398723263,0.005090110375260937,0.0038713664827974524,0.010265771123746222,0.007231716914304555,0.009000833781263637,0.006647431502158598,0.00013542955027592818,0.007330676506494365,0.004070590907946817,0.004222532710078428,0.006685700794576643,0.003927456063204812,0.0022250212232800227,0.008189276137824508,0.003303702108349669
AENO,0.004283165274697624,0.0014917545277071797,0.0010635302722840148,0.0027813121682800654,0.005252399691025273,0.0034962953980924114,0.006002009674054612,0.0010130654019330203,0.0051476623218164735,0.0022313375530110886,0.0006974346616906231,0.003986776685417203,0.005807156129060711,0.006546760045373197,0.0011270317763571857,0.005289344248703801,0.0036882012155935867,0.00468459480812628,0.005379180695755743,0.008538835839567691,0.005402234685487228,0.002267881221759747,0.007450829334303582,0.0010798747501996869,0.002155499323907621,0.0017456707609428308,0.0011258226149717405,0.00946064371687347,0.006354062601482219,0.0054083445025762435,0.0017971656503263014,0.004375439513243297,0.0032508684176271174,0.001553930612459321,0.003068127266910265,0.00031867229997199894,0.0025601008737925605,0.007932401269551505,0.00989766320745896,0.0024080938624980227,0.00342682867719917,0.004742695985374834,0.0037098432829876828,0.006798134414746732,0.007678176779996904,0.0024804198394828194,0.0018586102449583003,0.0029120119910498402,0.006347571767590775,0.003054596891609789,0.003779661956009303
LSST,0.0026168057697380075,0.00046934263158152946,0.0027217302420778685,0.005684657032105227,0.0020347764978455706,0.004628151810143208,0.006489608913693367,0.0003360306220218604,0.0005161590171826164,0.006644388683712265,0.0024817615083135847,0.001598966706447838,0.006508769824585684,0.0004258875840779221,0.004301456026341461,0.009896834538062834,0.004439796350837395,0.006621252586343884,0.001501044696688518,0.00228307666561795,0.001908462250327243,0.0046571003333802895,0.004533554859877255,0.004487913803088219,0.005056617143336684,0.0027684880515756816,0.0017705342251947732,0.011352007370652121,0.00482713393647281,0.003148799622031996,0.005831335215487968,0.0058107936730146005,0.0015306977899992016,0.002814577196763226,0.001197499264535622,0.003712829162895063,0.0008148567412596076,0.007037139745027395,0.0025744964929987537,0.004268442095560973,0.0030209355181627113,0.004608253477781262,0.004629827412702861,0.009234850799642109,0.0015032801881122194,0.0007890969803575613,0.0029569905339755665,0.002580852884413693,0.0012124791125590444,0.0033542178230251585,0.0006531104715237265
SRNA,0.007969998088493215,0.007460506463352595,0.005393539543174175,0.0003417828283933154,0.0044963978153581725,0.008462685668498879,0.0036752525270717295,0.00326297162493089,0.0067354005310413245,0.004111720043896476,0.003362830595832287,0.0035378740839739527,0.00463842514421556,0.0017814543386705016,0.01725500334855285,0.005447339229480319,0.0011345640485189348,0.005698922897822603,0.002724634165768755,0.01466409348868418,0.004065308559028272,0.004531984428250752,0.005567185781317138,0.0011559957216864662,0.0012240151157051436,0.004275366832669197,0.004741119066168047,0.004671655158757039,0.004420897206909044,0.01192064733773323,0.0016549414915011246,0.002432051187507292,0.0027766768415216705,0.005260748030976305,0.008860296036315286,0.000986364651104782,0.0067191880966605815,0.001569407153515008,0.006507361663501729,0.009108072251585157,0.011789657255893342,0.007011191533164488,0.0024646425715279963,0.005573995123072703,0.006973070782348163,0.001408599203801905,0.009053648844087436,0.0007277990520568565,0.006156920916514298,0.010656586003094382,0.009266719363453593
ELLT,0.0038366705354343257,0.001362496386277839,0.0028153206313017726,0.0034739045187329003,0.0016584682506687216,0.0051997916362856896,0.005621081955758035,0.006578391891243075,0.0013894311299223147,0.001938858280166586,0.0024813953593335845,0.0012250713833177945,0.0013427373285676402,0.001025605743149114,0.009469174996275434,0.006028649767630831,0.004963485974177824,0.0013576194558492507,0.00622410203365837,0.003400801614871274,0.0037427797380966306,0.0012911015508974997,0.001333382441442807,0.0018670219990151154,0.0019528344506603143,0.008146923455542104,0.005477647642687652,0.008003040959033442,0.0030853203910864366,0.015157678527432675,0.0010945506813279451,0.0006963961270993538,0.0010837605987024596,0.002340396029342502,0.011752357139359343,0.004952756695987777,0.005396703184257157,0.003947140119858587,0.007671317605309758,0.007616126657820261,0.017616217832646313,0.007573573690618927,0.005311555903656299,0.0018836937467138718,0.0044351749403036215,0.00104975684522398,0.004680884621343972,0.004141113374846642,0.0010163645530434275,0.002477382929414698,0.0020556407160093586
AMRP,0.006222851213720586,0.010210988509188947,0.0021473718083723134,0.007510694719128936,0.0014283623984812765,0.004786659391896385,0.006225366408005795,0.0032115755310962394,0.002743059064317332,0.003871737617965664,0.0033254071287344387,0.00019452583658517795,0.0035903702737022647,0.002057190714647503,0.0018299793378695143,0.0019051265823275456,0.0029604748706609924,0.008258430463891544,0.00394429148273325,0.0014840792290343708,0.002184327415416581,0.0030258026270104793,0.0057805752265469475,0.003164435666742723,0.0019048408455202594,0.002754191400418355,0.003584518510827489,0.002638665499613453,0.0007588694290838055,0.005894279061269679,0.01121244491758752,0.003703669699958896,0.0034506492947234697,0.006558952677163592,0.0006153796235023991,0.008032808447708017,0.004413091627434994,0.0019696478206864577,0.0055921321961697355,0.0053432557435018286,0.0021218303441357736,0.0024804938003114485,0.00251945061746905,0.004266655829753337,0.008210868154057329,0.00456304862577921,0.0009907587197153485,0.0019747002232947102,0.004118047967643975,0.0004966266913078617,0.002610641461472899
OTCS,0.0028742457514920917,0.0024277156165710776,0.0022301177231482897,0.0020275716933395877,0.00423051543476847,0.0008936241651909963,0.0076377587291720315,0.004087298494325559,0.0046443049288639755,0.004568959084596062,0.01291431988379206,0.0011087386413938002,0.008564152261677217,0.002592247147371711,0.0056468270577662225,0.004822486902277819,0.0005035629140757438,0.0039279229526348455,0.003320666836628419,0.0009451383538329085,0.005978314629983981,0.002479361862031423,0.0018891547443407666,0.0017610528118448873,0.002318615133446048,0.00410634463788801,0.0023419099554418624,0.004995759087377368,0.0015530189489845268,0.0014364740070546395,0.005859935314684145,0.012788574865751842,0.0029829172586628427,0.0009075883287915478,0.0012244196875616509,0.005910953275349837,0.013009052029846473,0.0010567559786082898,0.005199784927468785,0.0009411428688052975,0.0018085795797165537,0.00351978623585392,0.013459647504834513,0.007452263138534438,0.004594457056989452,0.0014712855041660242,0.0025193323100060998,0.01153574003344713,0.0025425549054403735,0.012620051299806234,0.004510423991576042
HETT,0.001195317685749707,0.0026981029312320524,0.0032165280295978725,0.0019413342513418478,0.0038112174505743426,0.0046251806440043945,0.0024894868946624604,0.0050937383316117715,0.001559459688658553,0.0014985760609808217,0.002336691109926436,0.0016935221291246166,0.0036333678864143935,0.0020832423319192047,0.0039570672791420965,0.0015108658838463712,0.002424264430080968,0.0020131264393969707,0.0012413370933549248,0.0007814911474218515,0.00038647224874719917,0.007919902571088544,0.0033723078692204957,0.006665978648034695,0.0032021569989744494,0.004804115284162686,0.0025652076690721648,0.003378280997906051,0.005026147222317049,0.0046966088098175825,0.006622612818736785,0.004377576100764319,0.001019654399661317,0.003387408131181043,0.013572811934583163,0.0019451209940293053,0.0036662701431304408,0.0020102557920283056,0.008561571200155875,0.0008946850410528765,0.0025497888843395936,0.0039006663324377185,0.0019473218793577447,0.005621204981437771,0.0020292807717347035,0.001041570358239487,0.009000165672617542,0.002686847195518047,0.005996240559053262,0.0030165898824932383,0.004432644999420597
HUXZ,0.003958377966694286,0.0023478255471406397,0.008235395320979357,0.005780958444049935,0.0028207759644862107,0.009399119925121248,0.0069726366293611265,0.0028573805058314094,0.0018033952212354256,0.0008235089725875631,0.002633871590650597,0.0006327916169191171,0.004780824021944217,0.005342588771529549,0.005872413414873736,0.007867259679546818,0.0014133606247770329,0.003084996981461181,0.00583841384954536,0.0019272635943586702,0.011740964008593625,0.0029454985536874856,0.0017012668119213642,0.0067359582346909145,0.002544967520225555,0.0028433021605288235,0.0069223281713243,0.0033040720418532252,0.002742183709283124,0.006094302305004443,0.0008648713657556824,0.0023016294891496907,0.0010195374672531373,0.0020406953560290902,0.010393203139677518,0.0028959368328760537,0.0031207789224733298,0.0013341030658660389,0.011270026632377233,0.007225692969643559,0.0017087687591138476,0.00271894448102797,0.0008401003919359992,0.0015881921529337685,0.0018040550779143709,0.00162025495442488,0.001893355363957459,0.0037801309020015633,0.0027098445309847643,0.0019493371223148568,0.0013874220809908617
DUCT,0.004977380933260501,0.009536709799278446,0.004724611777410249,0.0028627856732948796,0.005534812702883699,0.01040172209288636,0.003098435333112514,0.00015089953379835395,0.007787768395989655,0.008187750486709104,0.003941356563064144,0.0027668387936867693,0.005470643346213394,0.00379961919766832,0.006693319269921564,0.006895363728726626,0.004368570294142429,0.0013573454272693781,0.00214815085795185,0.003128426917101095,0.003153559442990778,0.0028035513759036897,0.00714533842409424,0.011996022984101578,0.00115779141116556,0.0039411678726530945,0.007216146619025764,0.006466649437414022,0.0006932285416248142,0.015462156132316662,0.007964618700192216,0.0012480930648016697,0.0014308112133795273,0.008578842065787923,0.007187323383535301,0.003059561738446792,0.008743760691652142,0.0026002753290403965,0.01352526855375933,0.003460932994410953,0.003039584927190759,0.006504313618882599,0.0031683225598921677,0.007101846822511976,0.0051904411765389055,0.004268556396908182,0.004122822003165929,0.0026977888634573378,0.0006344314474192401,0.019014398851676727,0.004703656275361429
SMAH,0.002508204032167267,0.0020188521472943102,0.006054032004976867,0.002830586925695966,0.006699104297588479,0.003567106467316894,0.0019803526972297777,0.004615584851748931,0.004323750351424772,0.003581183220144774,0.0014103871842663573,0.0010471057657941447,0.0014294462542304744,0.003400440847006786,0.008820101581394048,0.008372450350956044,0.005830090189308305,0.011812445326945198,0.0011106990799674928,0.006698860130689453,0.0023141818349849165,0.0029320869487755932,0.004706688789229718,0.0029166413719456004,0.002918366420319992,0.0024419226930750375,0.0019443548520777787,0.003906989788728282,0.001006700254153236,0.0030390521152868603,0.0002242642606519003,0.010431201595487553,0.0011798102035697853,0.008135964468304824,0.004079684504870515,0.00349134755909347,0.0026599190879108125,0.003837716256379101,0.0030342824736310225,0.005228499193642953,0.009213281945329183,0.005226267950422461,0.005409696101802176,0.003695578235212993,0.002937462740729024,0.0020934438337706805,0.006054934895075435,0.002601252377002008,0.003274254467911802,0.008854425730614558,0.004730849399205175
