,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
ALGO,1.5153265042542918,0.09331276523826311,0.07546219089644461,0.13201413037674448,0.08577281319924741,0.09817901547818791,0.06847864495149573,0.08769496694078735,0.09678599431802398,0.11752449955135359,0.10747222994712684,0.0847551840997733,0.11616911720712847,0.09813537255993734,0.1505084428087531,0.06964341190339535,0.07137429181523974,0.07334799482235499,0.05335729411931904,0.06788215972358154,0.08497188903912928,0.10494442849143236,0.09310182073261543,0.09963114036005039,0.08678046715559964,0.08243774280813965,0.06404270219490193,0.10057867075905376,0.10657481945718636,0.11178215672023598,0.10007676909580986,0.1141117332358944,0.0830629199813717,0.10457637098632362,0.10180710502861925,0.062326665339333565,0.12416613704387716,0.05918918058968574,0.06317664335782157,0.08314788584161568,0.049019024356776006,0.1443441046509512,0.15387758398252566,0.1360059439829861,0.10313639963540651,0.08931168652055896,0.20690080829797008,0.07604902547467221,0.06813622956855188,0.07940227602176755,0.09921294339702277
AENO,0.09331276523826312,1.5258858934897384,0.023349677234261804,0.03694637717735007,0.02094738458768141,0.03625431663863472,0.008704477762758674,0.022920097673925485,0.016630932266152525,0.04113424361918287,0.03020885373816179,0.028239918038400626,0.005072901548994707,0.04634628331191501,0.045806512686667605,0.016686971233421118,0.020092701144103595,0.007610798836170989,0.002252713857204953,0.004147613409835061,0.031049307521169182,0.018231257622884155,0.025981285859043635,0.019502797677520486,0.006823661628029207,0.006899036148035607,0.007205285654793097,0.044112212070854244,0.06221540662162435,0.01744270641752565,0.014418464854009428,0.009081884178076004,0.020029023784665752,0.02581676912694634,0.029470679660083626,0.0077663783651612806,0.026691631192210116,0.0017802557911242977,0.011893176900396797,0.016077036527165495,0.023656720019048415,0.0288012499914308,0.02787048219262267,0.017435925219528373,0.041916243033813146,0.018706591342403975,0.04895475003921882,0.012511328848536708,0.005797501691710338,0.004721514845894722,0.008864890147860953
LSST,0.07546219089644461,0.023349677234261783,1.5379441011412325,0.03732116840316235,0.018355393667406145,0.025787580054930113,0.011894279067698917,0.03274459099890064,0.03656441044413604,0.037663216519332014,0.02424170796191505,0.029305964799963807,0.027689362624894652,0.017581589299687762,0.03270081896570413,0.008535935074441347,0.019932213957693456,0.01175005829204366,0.003284994154725482,0.009769523949789735,0.01608139847930619,0.01434913594072066,0.010883322431713246,0.014761838749961398,0.012024421933681155,0.0026626737380634684,0.005526638945068635,0.04422272389952087,0.04570214621348969,0.013852565711991713,0.014850003704914962,0.021320156371661923,0.014769765609396655,0.021106408876413893,0.04620729609967266,0.004761492141968256,0.026888796649338152,0.003074300983100634,0.010624838615596908,0.006728214598450705,0.01370605569557774,0.027063556939529894,0.05973641379252412,0.019192525631634254,0.015695765749729654,0.02522159911296803,0.06515874088927676,0.009753273473989955,0.006516408719792737,0.01334625005880663,0.007641694111260075
SRNA,0.13201413037674448,0.03694637717735007,0.03732116840316235,1.504210581040505,0.01710568325037569,0.035756020357645246,0.02471179920103749,0.041448478059408295,0.037906366373116264,0.07937806478993811,0.026654781463840337,0.03659892022560807,0.02579127026189163,0.03296597357665765,0.08299205608840629,0.07887640717701774,0.05249776391810364,0.02448073469338257,0.006914974467007168,0.013039283309705146,0.025065947156144165,0.010360560093029436,0.019320599328004652,0.01725287256133625,0.02057037028987069,0.015104089689007545,0.016104159331240438,0.03497759604644099,0.04651487706610557,0.02738904307952201,0.03571625829157928,0.04238573682329766,0.021394986204270855,0.07650504485606532,0.04471591586068528,0.007104893102952824,0.0354861074558194,0.006737944130420465,0.01156812929379556,0.021163519728185205,0.02093325158581255,0.03217085828924743,0.09926111201995223,0.03438687986763214,0.04891088765174326,0.049434271089145956,0.08798934954673115,0.013607696235991815,0.025066232518923648,0.018592605062027038,0.024868311588162113
ELLT,0.08577281319924741,0.02094738458768141,0.018355393667406142,0.01710568325037569,1.5207970681129652,0.04131521152162279,0.026260984277536793,0.013239160669462846,0.010739537766305488,0.033275290161183795,0.023399556296008754,0.014543456134669536,0.021694211118405086,0.025737084741197097,0.02946176121717029,0.004396721360399283,0.01591726318790803,0.016934814773354172,0.010930351825998011,0.008729554203587012,0.014817799607652737,0.009152034998433091,0.015092695611531814,0.034786805908662496,0.023663476339181776,0.026951284226535692,0.019821574931322743,0.02218947505571183,0.011891577893358256,0.03304154364040808,0.01717467573638537,0.02589642035230693,0.024586811262236108,0.018720191386762224,0.01272255227652757,0.016663439084692852,0.04394755005950799,0.003030179851565779,0.013036398749993273,0.021766988134705352,0.001988583400058785,0.05327111843394736,0.025598095948645233,0.04801499211668529,0.021955650371872977,0.02020682759283847,0.027828987858178784,0.022390343022148207,0.032047027777661455,0.011407954322458832,0.03715026432895683
AMRP,0.09817901547818793,0.03625431663863472,0.025787580054930107,0.03575602035764524,0.0413152115216228,1.5107505660254987,0.02561920193934674,0.01923666692911688,0.027582832201836507,0.0252839902292107,0.03892940673380847,0.03301112611318775,0.021593691010171678,0.0225535186044441,0.046450844305814636,0.013380782397889299,0.029737926503495084,0.013842929881852394,0.006060150397642836,0.007533578675820836,0.011730271414233644,0.004419483439644337,0.019211889271156142,0.018962176950394885,0.01004177417986751,0.012166985410944374,0.012652842863249605,0.037827612905818264,0.03373422733110463,0.016186065203213154,0.010814801624567508,0.024579768273869512,0.011868050306600236,0.02713729986842104,0.03896412825207131,0.003286820785865483,0.025425488898560923,0.004067210026325029,0.019170975781522284,0.019474082237399576,0.008455599971029043,0.03700885987875328,0.029747890880968776,0.029719299332546335,0.017908911297501648,0.03459948211609596,0.04923284817835767,0.011615006614617195,0.013650887864124668,0.013854748421469117,0.0348647369189974
OTCS,0.06847864495149575,0.008704477762758681,0.01189427906769892,0.024711799201037485,0.026260984277536793,0.02561920193934674,1.5080448467383893,0.02007019333373369,0.014169378907687949,0.02474536845270322,0.008676084085586691,0.00864787932255907,0.020586336178816042,0.019694939978727413,0.02542172182809504,0.01744534993366471,0.008741675192987321,0.004791663417415335,0.0019194532199279437,0.012324219089764523,0.00802616190283709,0.001097909802724787,0.009221670474679308,0.011676249982810163,0.005632255246117181,0.005689022386485734,0.019581090390358873,0.008617566877745144,0.026978546578398075,0.011467149379698283,0.01123133520499532,0.015884989866537073,0.013075517758209726,0.017401362848283308,0.013409786632785504,0.0075105429774151924,0.013548434544765346,0.009990025377645633,0.006116699027758642,0.013999934276219941,0.005872983059539892,0.025576107445401196,0.026654816201384317,0.024158547676115142,0.01964577246112964,0.013751265861182867,0.0320242366991116,0.007234205779407119,0.016332506396144336,0.008980217194239304,0.00895630422734699
HETT,0.08769496694078734,0.022920097673925492,0.03274459099890063,0.04144847805940828,0.013239160669462846,0.019236666929116887,0.02007019333373369,1.5192279364645978,0.02604263286408985,0.0177264066400108,0.030484501591458518,0.025557171624259543,0.012302204021012383,0.03613406284306943,0.05902945774138942,0.020520730522310023,0.025150655699385335,0.02937403255008047,0.0002140195334820545,0.006922695502873,0.01474915746292953,0.009208881219287122,0.015609892554020323,0.019240205448683344,0.007115457741280331,0.014390621849091227,0.017584697291064662,0.043701618111597326,0.034113833096341833,0.017429901626802385,0.011291519054558259,0.021936014730199446,0.01692687059256613,0.024501197970013325,0.036123810970303455,0.005841474816108944,0.016170939990294432,0.003396285837899523,0.016720373081611103,0.022554058316623694,0.015860259925979843,0.026475247018163076,0.06023493132246667,0.02828579620325368,0.0499496184579845,0.029032566216638564,0.07075413254882972,0.00614592483577641,0.016309003021057117,0.008322551803471821,0.01238088179960237
HUXZ,0.09678599431802398,0.01663093226615253,0.03656441044413604,0.03790636637311626,0.010739537766305485,0.027582832201836507,0.014169378907687949,0.02604263286408985,1.5136423730030584,0.025649853147324625,0.034441508870059936,0.01283128074744335,0.014630224980126082,0.02406831074337199,0.04430666308857355,0.02078108586276136,0.028358732045777466,0.004883224180389854,0.005855041100239119,0.005336359599661798,0.02339281524029275,0.01894213750277471,0.007984522137151714,0.018196308750017424,0.0026826970089508483,0.014341681970744584,0.009472453177878478,0.040804416427678236,0.028652577524080673,0.022144189834213436,0.007107784854024305,0.020138823242142757,0.018060545807843116,0.03036616132517049,0.041451045143493105,0.0038662158860843926,0.026914325038865733,0.009350362787097784,0.0062994346731211435,0.009361466454236148,0.02331165477574171,0.010988956562001384,0.04827035068598749,0.01263257092918869,0.04042149870115712,0.014223454952929496,0.0822636919454431,0.009588187034390128,0.017592944331399202,0.01011277958166644,0.027443541967090666
DUCT,0.11752449955135359,0.04113424361918285,0.037663216519332,0.07937806478993811,0.0332752901611838,0.025283990229210705,0.024745368452703226,0.017726406640010805,0.025649853147324625,1.528884653846879,0.05610883593741866,0.02396071988317024,0.029219652096040372,0.03287843952560497,0.05925645473924125,0.030247184119326746,0.03894547392115207,0.018943071415674265,0.004310401935120688,0.01502296537722276,0.03176518991607,0.005682100166151255,0.012979362878316445,0.018094895603506043,0.0061846333323438835,0.012483270104007127,0.012596107423775229,0.03731885634205152,0.03714445617354316,0.024037848760232156,0.016698954547453404,0.030625855786851886,0.02445472787062096,0.042897999028348205,0.04121992501099034,0.011118438259798285,0.042567512935131016,0.010135652414379432,0.00948616329131449,0.02644445796025246,0.019632249733616332,0.03813298277193351,0.07103915534407738,0.04846857024782075,0.026027514567111935,0.05415925792533684,0.08232639408982387,0.022681114725839058,0.021876945271406222,0.015318358231970586,0.027757708142051963
