Ticker,Entropy Bits
GARI,1.4818645991194048
ACAC,1.493586446640935
ITPA,1.4951847083466672
NGTE,1.4969371149343147
EELT,1.5028628857408262
SMAH,1.5033917452053738
MMBT,1.503435809686591
SRNA,1.504210581040505
FCSG,1.504992340285559
SPLZ,1.5065386841877935
ILVX,1.507703225501282
OTCS,1.5080448467383896
HRET,1.5101792009091881
BLBT,1.5103914351778864
RRES,1.5107505660254987
AMRP,1.5107505660254987
NAYO,1.5109790599430146
EAFC,1.5109790599430146
SRTX,1.5110171393682053
CCNS,1.511557753935903
ALUT,1.5130288962560174
HUXZ,1.5136423730030584
ANSO,1.5138972374810742
ALGO,1.5153265042542918
HTRK,1.516608498127294
CTGI,1.5174864358447677
HETT,1.5192279364645978
RCRI,1.5194202514790955
MSDP,1.5199300496479773
MDGI,1.5200777945706663
NPCK,1.52021268110467
ELLT,1.5207970681129652
EORC,1.521614277883097
CUBO,1.5218330001863984
AETS,1.5235186817450614
FWWG,1.5258018528971862
AENO,1.5258858934897384
MTNS,1.5260151786990175
RTTH,1.5260151786990175
ULXY,1.5273931698171404
FARS,1.5274279931555463
DUCT,1.528884653846879
HRND,1.5298594036394784
ACIX,1.5298853893749729
IHOZ,1.5310250647768888
MHRM,1.531480576442787
AGVF,1.5333059740961623
BENI,1.533534517940363
DIHO,1.5354662418273812
LSST,1.5379441011412325
NWIG,1.5385022979296226
