Source,Target,Lagged MI
ULXY,GARI,0.02200002665134082
DUCT,MHRM,0.019014398851676727
HTRK,IHOZ,0.018443347781549563
ANSO,GARI,0.01839458285080965
BENI,GARI,0.017709880230429367
AGVF,CUBO,0.01767673552879384
ELLT,ULXY,0.017616217832646313
SRNA,CUBO,0.01725500334855285
MMBT,BENI,0.01696400296743223
CTGI,ULXY,0.016590715021187474
GARI,IHOZ,0.016439000398568198
RRES,SRNA,0.016385262108601324
EAFC,HUXZ,0.016274702884186372
FWWG,RRES,0.01614403116519278
ANSO,SPLZ,0.016126474698029643
CUBO,ILVX,0.01603660795293072
SPLZ,MHRM,0.015970884585625997
FCSG,ULXY,0.015882166305254852
FARS,CUBO,0.015806402674792896
CTGI,NGTE,0.015782915122330723
MMBT,MTNS,0.015722812435589706
RRES,RTTH,0.015652723908739365
CTGI,AENO,0.015520805177108719
DUCT,GARI,0.015462156132316662
ULXY,LSST,0.01542439841630149
ELLT,GARI,0.015157678527432675
RTTH,ITPA,0.014981178030035305
ANSO,BLBT,0.014681134180278759
SRNA,SPLZ,0.01466409348868418
FWWG,DIHO,0.014298539689035307
