Strategy,Days Selected,Selection Fraction
Max short all assets,93,0.37349397590361444
Previous-day momentum,72,0.2891566265060241
20-day losers-long winners-short top/bottom 20%,62,0.24899598393574296
Cash,20,0.08032128514056225
Max long all assets,2,0.008032128514056224
ALGO long-and-hold,0,0.0
ALGO short-and-hold,0,0.0
Previous-day reversal,0,0.0
1-day winners-long losers-short top/bottom 20%,0,0.0
1-day losers-long winners-short top/bottom 20%,0,0.0
5-day winners-long losers-short top/bottom 20%,0,0.0
5-day losers-long winners-short top/bottom 20%,0,0.0
20-day winners-long losers-short top/bottom 20%,0,0.0
