Ticker,Ticker Index,End,Estimation Window,Signal Window,Alpha,Beta,Residual Return,Residual Mean,Residual Volatility,Residual Sharpe,Residual Z-Score,Residual Momentum,Residual Skewness,Residual Excess Kurtosis,Residual Autocorrelation,Cumulative Residual Return
ACAC,27,499,60,20,-0.001752365071282467,1.1511229215294574,-0.006861686469787762,0.0036398128198566666,0.020332365072690886,0.17901571247830028,-0.5164917731951096,0.07279625639713333,0.5351201825274536,-1.254037059205534,-0.027168456454841318,-0.020460785518172847
ACIX,31,499,60,20,0.00069204570388621,0.76040677361409,0.00975563675527133,0.004362889170483517,0.010732233998307628,0.40652199450473253,0.5024813646104062,0.08725778340967034,0.62980007477921,-0.28868393330319053,-0.10101708034824519,0.011272657847686864
AENO,1,499,60,20,0.00048140831821533625,0.8280273734848098,-0.0038288911238111745,0.006012755160398367,0.01928599896865167,0.31176788768742386,-0.5103000523958647,0.12025510320796734,-0.42034773962445915,-0.9942726577397232,-0.0871409686906675,0.129750004487026
AETS,39,499,60,20,-0.0005213293977847847,1.7620774007638638,0.046779104778448335,0.008436995890682345,0.029550006159480235,0.2855158758731963,1.2975330252330615,0.1687399178136469,0.12252005712910354,-1.293450987979528,-0.13050317649059962,0.21858547922004123
AGVF,23,499,60,20,0.005093032104314809,0.20879118614758935,-0.006639317866924058,-0.000514105053205233,0.017209677839022077,-0.02987302017005372,-0.35591676212730805,-0.010282101064104661,-1.0090092467282084,0.8338565149716173,0.01179900449238541,0.1489859328797963
ALUT,26,499,60,20,-0.0023268514465135067,0.3609721557661603,0.021101842752560662,0.0037461816888601914,0.022018578048017923,0.1701373122592454,0.7882280602249335,0.07492363377720383,0.7649661561766417,0.5678394236056072,0.18136043759809414,-0.0795419726347193
AMRP,5,499,60,20,0.0027602352061289514,1.1322296874813433,-0.027698524470771337,0.004345225060937081,0.022924485951630803,0.18954514705826894,-1.397795771705358,0.08690450121874162,0.3514979094905423,-0.8984168001398904,-0.28633413335187125,0.19079451061487762
ANSO,16,499,60,20,-0.002811230195383685,0.5749828514519503,0.01502304973188336,-0.0003043237732441941,0.014683514125656343,-0.020725540946118105,1.0438491340670422,-0.006086475464883882,0.21580702664538323,-0.662421387794347,0.21518473190531162,-0.03617110839643531
BENI,42,499,60,20,0.0008088383248912806,0.6153578381470893,-0.0022078268577615887,-0.0007189270560593541,0.007070419332395372,-0.10168096434752623,-0.2105815414483788,-0.014378541121187081,-0.5537812136735956,-0.38863447314104427,-0.26612931854332217,0.11388864078218919
BLBT,41,499,60,20,0.001084987086841526,0.7047940163909353,0.0033778746861832768,0.0017516140644673328,0.010067317117312244,0.17399015488000996,0.161538630676424,0.035032281289346656,0.4525208886845952,-0.5742741892016472,0.1438914036152091,0.0973747116025083
CCNS,32,499,60,20,-0.002965984116898599,0.4238606828923926,-0.0002578808417778032,0.002346474668858835,0.023259243127108857,0.10088353503317558,-0.11197077636637447,0.046929493377176695,0.6186465225127915,0.5183120818509419,0.34354791926870426,-0.279132364856837
CTGI,25,499,60,20,0.0019638689636766837,1.4819892274028197,0.04037546759655424,-0.007009513411597279,0.029049790759809235,-0.24129307744601838,1.631164279286626,-0.14019026823194558,0.1210420348237503,0.10912025753630061,-0.18122422767204752,-0.13128152331735143
CUBO,14,499,60,20,0.0010390853290701682,0.9721617178598664,-0.007677602537869717,0.00011222256913093732,0.014439651975832298,0.007771833373738139,-0.5394745745976783,0.0022444513826187463,0.6081821275318615,0.0892680744099108,0.38824136446836055,0.09566922513931678
DIHO,17,499,60,20,0.0012843047608494195,0.8822784534691682,0.002048108265832094,-0.0013157593463672284,0.018609478965670515,-0.07070371764811098,0.18076097769339775,-0.026315186927344567,0.7566103613378666,-0.04660248850805626,0.369358819906412,0.11932265170040965
DUCT,9,499,60,20,-0.000404499744083455,0.8814266459043377,0.006541559755984988,0.005326616058107745,0.018409245272008885,0.2893446189348579,0.06599638822372338,0.1065323211621549,-0.41765003328134853,-0.667157706376245,-0.18032510892485504,0.09534082565554859
